Team,Opponent,Home/Away,Possession,Fouls,Yellow Cards,Red Cards,Passes,Shots,On Target,Goals,Allowed,Result,Team SPI,Opponent SPI,SPI Difference,Team xG,Opponent xG,Team nsxG,Opponent nsxG,Total Generated,Total Conceded
Manchester United,Liverpool,Home,29.5,11,3,0,273,13,5,2,1,W,73.33,89.33,-16,1.59,1.66,1.57,3.07,3.16,4.73
Liverpool,Manchester United,Away,70.5,7,1,0,645,17,5,1,2,L,89.33,73.33,16,1.66,1.59,3.07,1.57,4.73,3.16
Southampton,Manchester United,Home,48.3,4,0,0,364,17,5,0,1,L,62.32,74.01,-11.69,1.59,2.33,2.18,1.42,3.77,3.75
Manchester United,Southampton,Away,51.7,14,3,0,404,11,6,1,0,W,74.01,62.32,11.69,2.33,1.59,1.42,2.18,3.75,3.77
Brentford,Everton,Home,57.8,8,2,0,514,20,5,1,1,D,68.85,63.29,5.56,2.37,1.68,2.01,1.31,4.38,2.99
Everton,Brentford,Away,42.4,8,2,0,385,14,7,1,1,D,63.29,68.85,-5.56,1.68,2.37,1.31,2.01,2.99,4.38
Brighton,Leeds,Home,42.8,10,2,0,353,13,4,1,0,W,75.7,64.77,10.93,1.71,1.2,1.43,0.72,3.14,1.92
Leeds,Brighton,Away,57.2,14,3,0,475,10,2,0,1,L,64.77,75.7,-10.93,1.2,1.71,0.72,1.43,1.92,3.14
Chelsea,Leicester,Home,45.1,10,1,1,446,7,4,2,1,W,83.97,68.04,15.93,1.68,2.22,0.66,1.89,2.34,4.11
Leicester,Chelsea,Away,54.9,7,2,0,524,17,5,1,2,L,68.04,83.97,-15.93,2.22,1.68,1.89,0.66,4.11,2.34
Manchester City,Crystal Palace,Home,74.3,14,1,0,770,18,5,4,2,W,92,72.54,19.46,2.29,0.08,2.87,0.13,5.16,0.21
Crystal Palace,Manchester City,Away,25.7,8,2,0,265,2,2,2,4,L,72.54,92,-19.46,0.08,2.29,0.13,2.87,0.21,5.16
Liverpool,Bournemouth,Home,69.4,6,0,0,681,19,12,9,0,W,88.83,57.47,31.36,4.47,0.25,2.85,0.61,7.32,0.86
Bournemouth,Liverpool,Away,30.6,5,1,0,303,5,2,0,9,L,57.47,88.83,-31.36,0.25,4.47,0.61,2.85,0.86,7.32
Arsenal,Fulham,Home,72,6,2,0,595,22,8,2,1,W,80.82,61.59,19.23,2.32,0.84,2.42,0.95,4.74,1.79
Fulham,Arsenal,Away,28,12,3,0,223,11,3,1,2,L,61.59,80.82,-19.23,0.84,2.32,0.95,2.42,1.79,4.74
Aston Villa,West Ham,Home,57.8,10,2,0,582,9,3,0,1,L,71.63,68.56,3.07,0.37,0.38,0.71,0.88,1.08,1.26
West Ham,Aston Villa,Away,42.2,10,0,0,419,7,2,1,0,W,68.56,71.63,-3.07,0.38,0.37,0.88,0.71,1.26,1.08
Wolves,Newcastle,Home,36.1,10,2,0,265,10,4,1,1,D,68.06,71.11,-3.05,1.11,2.08,0.85,2.36,1.96,4.44
Newcastle,Wolves,Away,63.9,11,1,0,458,21,6,1,1,D,71.11,68.06,3.05,2.08,1.11,2.36,0.85,4.44,1.96
Nottingham,Spurs,Home,55.3,11,6,0,568,17,1,0,2,L,56.48,81.93,-25.45,0.88,2.52,1.62,1.18,2.5,3.7
Spurs,Nottingham,Away,44.7,13,1,0,462,18,7,2,0,W,81.93,56.48,25.45,2.52,0.88,1.18,1.62,3.7,2.5
