Team,Opponent,Home/Away,Possession,Fouls,Yellow Cards,Red Cards,Passes,Shots,On Target,Goals,Allowed,Result
Southampton,Manchester City,Away,34.8,8,1,0,393,5,0,0,4,L
Newcastle,Brentford,Home,54.4,13,0,0,389,16,6,5,1,W
Brentford,Newcastle,Away,45.6,9,1,0,320,6,3,1,5,L
Brighton,Spurs,Home,58.9,9,1,0,694,14,4,0,1,L
Spurs,Brighton,Away,41.1,14,2,0,489,8,3,1,0,W
Crystal Palace,Leeds,Home,54.5,13,3,0,418,13,5,2,1,W
Leeds,Crystal Palace,Away,45.5,23,3,0,345,10,4,1,2,L
West Ham,Fulham,Home,50.3,9,1,0,485,17,8,3,1,W
Fulham,West Ham,Away,49.7,7,3,0,486,8,2,1,3,L
Arsenal,Liverpool,Home,44,11,1,0,386,11,7,3,2,W
Liverpool,Arsenal,Away,56,11,2,0,488,8,3,2,3,L
Everton,Manchester United,Home,39.7,7,2,0,375,11,2,1,2,L
Manchester United,Everton,Away,60.3,13,1,0,609,12,4,2,1,W
Nottingham,Aston Villa,Home,39.9,13,3,0,333,6,3,1,1,D
Aston Villa,Nottingham,Away,60.1,19,3,0,506,12,2,1,1,D
Brentford,Brighton,Home,27.5,12,3,0,235,7,3,2,0,W
Brighton,Brentford,Away,72.5,15,1,0,611,21,7,0,2,L
Leicester,Crystal Palace,Home,53.1,18,2,0,579,14,5,0,0,D
Crystal Palace,Leicester,Away,46.9,13,2,0,514,8,1,0,0,D
Fulham,Bournemouth,Home,68.9,9,2,0,585,19,4,2,2,D
Bournemouth,Fulham,Away,31.3,11,0,0,268,10,6,2,2,D
Wolves,Nottingham,Home,58,17,2,0,435,9,2,1,0,W
Nottingham,Wolves,Away,42,13,2,0,313,10,2,0,1,L
Spurs,Everton,Home,61.5,12,1,0,583,21,7,2,0,W
Everton,Spurs,Away,38.5,13,4,0,367,4,0,0,2,L
Aston Villa,Chelsea,Home,41.1,12,0,0,353,18,7,0,2,L
Chelsea,Aston Villa,Away,58.9,11,3,0,548,8,4,2,0,W
Leeds,Arsenal,Home,47,10,0,0,428,16,4,0,1,L
Arsenal,Leeds,Away,53,11,2,0,500,9,4,1,0,W
Manchester United,Newcastle,Home,63,13,3,0,512,15,2,0,0,D
Newcastle,Manchester United,Away,37,11,1,0,301,9,2,0,0,D
Southampton,West Ham,Home,39.1,7,1,0,323,10,8,1,1,D
West Ham,Southampton,Away,60.9,3,1,0,488,25,4,1,1,D
Liverpool,Manchester City,Home,36.8,10,3,0,407,13,2,1,0,W
Manchester City,Liverpool,Away,63.2,7,1,0,702,16,6,0,1,L
Brighton,Nottingham,Home,70.3,10,3,0,623,19,7,0,0,D
Nottingham,Brighton,Away,29.7,14,1,0,260,3,0,0,0,D
Crystal Palace,Wolves,Home,51.3,14,3,0,449,14,4,2,1,W
Wolves,Crystal Palace,Away,48.7,18,1,0,428,10,4,1,2,L
Bournemouth,Southampton,Home,53.5,8,1,0,529,15,3,0,1,L
Southampton,Bournemouth,Away,46.5,13,3,0,464,9,3,1,0,W
Brentford,Chelsea,Home,33.7,7,0,0,317,8,5,0,0,D
Chelsea,Brentford,Away,66.3,7,0,0,656,14,5,0,0,D
Liverpool,West Ham,Home,53.8,9,0,0,600,22,7,1,0,W
West Ham,Liverpool,Away,46.2,8,0,0,510,8,3,0,1,L
Newcastle,Everton,Home,49.8,9,2,0,392,16,4,1,0,W
Everton,Newcastle,Away,50.2,12,4,0,412,1,0,0,1,L
Manchester United,Spurs,Home,51.9,7,1,0,583,28,10,2,0,W
Spurs,Manchester United,Away,48.1,7,0,0,528,9,2,0,2,L
Fulham,Aston Villa,Home,60.4,11,0,0,482,18,8,3,0,W
Aston Villa,Fulham,Away,39.6,11,2,1,311,12,6,0,3,L
Leicester,Leeds,Home,46.8,15,2,0,461,5,1,2,0,W
Leeds,Leicester,Away,53.2,11,1,0,518,14,2,0,2,L
Nottingham,Liverpool,Home,24.8,14,2,0,227,10,7,1,0,W
Liverpool,Nottingham,Away,75.2,8,1,0,691,15,7,0,1,L
Everton,Crystal Palace,Home,45.8,16,3,0,382,9,6,3,0,W
Crystal Palace,Everton,Away,54.2,14,4,0,456,9,2,0,3,L
Manchester City,Brighton,Home,48.4,11,1,0,446,10,4,3,1,W
Brighton,Manchester City,Away,51.6,12,3,0,471,8,2,1,3,L
Chelsea,Manchester United,Home,47.9,8,1,0,414,6,2,1,1,D
Manchester United,Chelsea,Away,52.1,10,4,0,464,13,6,1,1,D
Aston Villa,Brentford,Home,45.1,14,1,0,329,19,11,4,0,W
Brentford,Aston Villa,Away,54.9,11,0,0,397,12,3,0,4,L
Leeds,Fulham,Home,57.2,12,1,0,488,14,5,2,3,L
Fulham,Leeds,Away,42.8,8,1,0,355,11,5,3,2,W
Southampton,Arsenal,Home,40.7,11,2,0,358,10,3,1,1,D
Arsenal,Southampton,Away,59.3,8,1,0,541,12,3,1,1,D
Wolves,Leicester,Home,60.9,10,2,0,537,21,6,0,4,L
Leicester,Wolves,Away,39.1,12,1,0,347,5,4,4,0,W
Spurs,Newcastle,Home,52.4,12,4,0,457,17,5,1,2,L
Newcastle,Spurs,Away,47.6,6,2,0,409,13,5,2,1,W
West Ham,Bournemouth,Home,54.4,9,0,0,497,20,4,2,0,W
Bournemouth,West Ham,Away,45.6,11,2,0,432,5,3,0,2,L
Leicester,Manchester City,Home,,,,,,,,,,
Manchester City,Leicester,Away,,,,,,,,,,
Bournemouth,Spurs,Home,,,,,,,,,,
Spurs,Bournemouth,Away,,,,,,,,,,
Brentford,Wolves,Home,,,,,,,,,,
Wolves,Brentford,Away,,,,,,,,,,
Brighton,Chelsea,Home,,,,,,,,,,
Chelsea,Brighton,Away,,,,,,,,,,
Crystal Palace,Southampton,Home,,,,,,,,,,
Southampton,Crystal Palace,Away,,,,,,,,,,
Newcastle,Aston Villa,Home,,,,,,,,,,
Aston Villa,Newcastle,Away,,,,,,,,,,
Fulham,Everton,Home,,,,,,,,,,
Everton,Fulham,Away,,,,,,,,,,
Liverpool,Leeds,Home,,,,,,,,,,
Leeds,Liverpool,Away,,,,,,,,,,
Arsenal,Nottingham,Home,,,,,,,,,,
Nottingham,Arsenal,Away,,,,,,,,,,
Manchester United,West Ham,Home,,,,,,,,,,
West Ham,Manchester United,Away,,,,,,,,,,
Leeds,Bournemouth,Home,,,,,,,,,,
Bournemouth,Leeds,Away,,,,,,,,,,
Manchester City,Fulham,Home,,,,,,,,,,
Fulham,Manchester City,Away,,,,,,,,,,
Nottingham,Brentford,Home,,,,,,,,,,
Brentford,Nottingham,Away,,,,,,,,,,
Wolves,Brighton,Home,,,,,,,,,,
Brighton,Wolves,Away,,,,,,,,,,
Everton,Leicester,Home,,,,,,,,,,
Leicester,Everton,Away,,,,,,,,,,
Chelsea,Arsenal,Home,,,,,,,,,,
Arsenal,Chelsea,Away,,,,,,,,,,
Aston Villa,Manchester United,Home,,,,,,,,,,
Manchester United,Aston Villa,Away,,,,,,,,,,
Southampton,Newcastle,Home,,,,,,,,,,
Newcastle,Southampton,Away,,,,,,,,,,
West Ham,Crystal Palace,Home,,,,,,,,,,
Crystal Palace,West Ham,Away,,,,,,,,,,
Spurs,Liverpool,Home,,,,,,,,,,
Liverpool,Spurs,Away,,,,,,,,,,
Manchester City,Brentford,Home,,,,,,,,,,
Brentford,Manchester City,Away,,,,,,,,,,
Bournemouth,Everton,Home,,,,,,,,,,
Everton,Bournemouth,Away,,,,,,,,,,
Liverpool,Southampton,Home,,,,,,,,,,
Southampton,Liverpool,Away,,,,,,,,,,
Nottingham,Crystal Palace,Home,,,,,,,,,,
Crystal Palace,Nottingham,Away,,,,,,,,,,
Spurs,Leeds,Home,,,,,,,,,,
Leeds,Spurs,Away,,,,,,,,,,
West Ham,Leicester,Home,,,,,,,,,,
Leicester,West Ham,Away,,,,,,,,,,
Newcastle,Chelsea,Home,,,,,,,,,,
Chelsea,Newcastle,Away,,,,,,,,,,
Wolves,Arsenal,Home,,,,,,,,,,
Arsenal,Wolves,Away,,,,,,,,,,
Brighton,Aston Villa,Home,,,,,,,,,,
Aston Villa,Brighton,Away,,,,,,,,,,
Fulham,Manchester United,Home,,,,,,,,,,
Manchester United,Fulham,Away,,,,,,,,,,
